20261 - Học kỳ 1 Năm học 2026 - 2027(Hiện hành)
Ngày cập nhật gần nhất của HK này: 03/09/2026 15:03:21
HỌC KỲ	MÃ MH	TÊN MÔN HỌC	TÍN CHỈ	TC HỌC PHÍ	NHÓM - TỔ	THỨ	TIẾT	GIỜ HỌC	PHÒNG	CƠ SỞ	TUẦN HỌC
20261	SA0001	Sinh hoạt Sinh viên	0	0	L059	--	--	--	CS-DiAn	BK-CS2	35|36|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	MT1003	Giải tích 1	4	4	L11	2	2 - 4	7:00 - 9:50	H1-GĐH1	BK-CS2	35|--|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	AS1001	Nhập môn Vẽ kỹ thuật	3	3	L02	3	4 - 5	9:00 - 10:50	H6-411	BK-CS2	35|--|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	PH1003	Vật lý 1	4	4	L12	3	7 - 9	12:00 - 14:50	H3-301	BK-CS2	35|--|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	MT1007	Đại số Tuyến tính	3	3	L06	4	9 - 10	14:00 - 15:50	H1-GĐH1	BK-CS2	35|--|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	AS1002	Nhập môn Kỹ thuật (Bài tập)	0	0	L02	5	2 - 3	7:00 - 8:50	H3-502	BK-CS2	--|36|37|38|39|40|41|--|43|44|45|46|47|48|
20261	PE1013	Bóng bàn (Học phần 1)	0	0	L04	5	10 - 12	15:00 - 17:50	CS2-NHATHIDAU-SAN1	BK-CS2	35|36|37|38|39|40|41|--|43|44|45|46|47|48|49|50|
20261	LA1003	Anh văn 1	2	2	L10	6	7 - 9	12:00 - 14:50	H1-102	BK-CS2	--|--|37|38|39|40|41|--|43|44|45|46|47|
20261	MT1003	Giải tích 1	4	4	L11	7	2 - 4	7:00 - 9:50	H1-GĐH1	BK-CS2	--|--|37|
Trình bày từ dòng 1 đến 9 / 9 dòng
